Date,cocoa,crude_oil,cotton,gold,lean_hogs,copper,coffe,wheat,live_cattle,natural_gas,platinum,sugar,silver,corn,oat,rough_rice,soybean
2018-01-02,1936.0,60.36999893188477,77.5,1313.699951171875,70.7249984741211,3.25600004196167,130.19999694824222,434.75,123.3499984741211,3.0559999942779537,943.7999877929688,15.329999923706055,17.121000289916992,353.25,242.5,1153.5,955.0
2018-01-03,1907.0,61.63000106811523,78.11000061035156,1316.199951171875,71.05000305175781,3.236999988555908,128.60000610351562,441.0,122.9499969482422,3.007999897003174,957.7999877929688,15.3100004196167,17.184999465942386,353.0,244.5,1141.0,959.75
2018-01-04,1905.0,62.0099983215332,79.25,1319.4000244140625,71.375,3.2425000667572017,129.55000305175778,439.75,122.25,2.880000114440918,966.0999755859376,15.25,17.18899917602539,351.0,245.75,1147.5,959.25
2018-01-05,1895.0,61.43999862670898,78.01000213623047,1320.300048828125,71.42500305175781,3.2070000171661377,128.44999694824222,437.5,119.25,2.7950000762939453,971.2000122070312,15.079999923706055,17.204999923706055,351.25,248.5,1156.5,961.5
2018-01-08,1914.0,61.72999954223633,78.13999938964844,1318.5999755859375,72.9749984741211,3.200999975204468,125.1500015258789,433.25,117.2249984741211,2.8350000381469727,972.2999877929688,14.779999732971193,17.06399917602539,347.25,250.0,1164.5,958.25
2018-01-09,1899.0,62.959999084472656,78.3499984741211,1311.699951171875,73.17500305175781,3.194499969482422,125.1500015258789,439.0,117.6750030517578,2.9230000972747803,967.9000244140624,14.729999542236328,16.93600082397461,349.0,249.0,1171.0,955.75
2018-01-10,1941.0,63.56999969482422,79.6500015258789,1317.4000244140625,72.5250015258789,3.2149999141693115,123.9499969482422,440.5,116.875,2.9059998989105225,974.4000244140624,14.649999618530273,16.96299934387207,349.0,251.0,1169.5,947.0
2018-01-11,1928.0,63.79999923706055,82.6500015258789,1320.5999755859375,70.9749984741211,3.213500022888184,122.8000030517578,440.25,117.0749969482422,3.0840001106262207,986.9000244140624,14.18000030517578,16.893999099731445,348.75,250.5,1152.0,940.5
2018-01-12,1914.0,64.30000305175781,81.68000030517578,1333.4000244140625,71.57499694824219,3.2000000476837163,122.25,426.25,117.375,3.2000000476837163,991.2000122070312,14.18000030517578,17.069000244140625,346.25,249.5,1158.0,944.0
2018-01-16,1932.0,63.72999954223633,81.43000030517578,1335.4000244140625,73.9000015258789,3.1989998817443848,120.4499969482422,422.0,118.0999984741211,3.128999948501587,1000.2000122070312,13.59000015258789,17.121999740600586,348.25,250.0,1214.5,968.0
2018-01-17,1985.0,63.97000122070313,82.13999938964844,1338.0,72.7249984741211,3.1665000915527344,123.0999984741211,427.0,120.9749984741211,3.2320001125335693,1006.2000122070312,13.420000076293945,17.104999542236328,353.0,254.25,1215.0,968.75
2018-01-18,1984.0,63.95000076293945,82.62999725341797,1326.0,73.05000305175781,3.1770000457763667,121.0999984741211,429.5,121.9499969482422,3.188999891281128,1005.0,13.079999923706055,16.892999649047848,351.5,259.75,1214.5,973.0
2018-01-19,1931.0,63.36999893188477,83.41999816894531,1331.9000244140625,72.07499694824219,3.1670000553131104,121.25,427.5,121.9000015258789,3.184999942779541,1016.2000122070312,13.25,16.975000381469727,352.5,258.0,1220.5,977.25
2018-01-22,1938.0,63.4900016784668,83.41000366210938,1330.9000244140625,71.80000305175781,3.177500009536743,122.5500030517578,428.5,123.5500030517578,3.2239999771118164,994.2999877929688,13.170000076293945,16.930999755859375,352.0,265.0,1218.0,984.25
2018-01-23,1929.0,64.47000122070311,82.26000213623047,1335.699951171875,72.25,3.0894999504089355,120.9499969482422,423.25,124.7249984741211,3.4440000057220463,1005.2999877929688,13.1899995803833,16.854999542236328,351.25,270.0,1220.0,986.25
2018-01-24,1955.0,65.61000061035156,82.2699966430664,1355.9000244140625,72.92500305175781,3.2084999084472656,122.5,433.0,125.4250030517578,3.509000062942505,1013.2999877929688,13.15999984741211,17.424999237060547,356.5,275.5,1216.5,992.25
2018-01-25,1960.0,65.51000213623047,81.87999725341797,1362.4000244140625,72.4749984741211,3.1989998817443848,123.6500015258789,435.0,122.4749984741211,3.4470000267028813,1029.300048828125,13.239999771118164,17.551000595092773,355.25,261.0,1214.0,992.25
2018-01-26,1986.0,66.13999938964844,80.4800033569336,1351.5999755859375,72.2750015258789,3.182499885559082,125.1500015258789,443.0,124.5999984741211,3.505000114440918,1015.0,13.359999656677244,17.381999969482422,356.5,266.0,1233.5,985.5
2018-01-30,1970.0,64.5,77.02999877929688,1335.4000244140625,72.44999694824219,3.1770000457763667,122.3000030517578,469.75,124.8249969482422,3.1949999332427983,997.4000244140624,13.720000267028807,17.01300048828125,361.5,270.0,1241.0,1000.25
2018-01-31,1996.0,64.73000335693361,77.27999877929688,1339.0,73.2249984741211,3.1840000152587886,121.8499984741211,467.25,123.8499984741211,2.994999885559082,1001.2999877929688,13.229999542236328,17.20400047302246,361.5,265.5,1244.0,995.75
2018-02-01,2017.0,65.80000305175781,78.3499984741211,1344.300048828125,74.82499694824219,3.1970000267028813,121.4000015258789,467.0,126.4250030517578,2.8559999465942383,1004.7999877929688,13.369999885559082,17.118000030517578,361.75,267.25,1240.5,985.0
2018-02-02,2059.0,65.44999694824219,77.30000305175781,1333.699951171875,75.19999694824219,3.176500082015991,120.4000015258789,463.25,126.8499984741211,2.845999956130981,996.4000244140624,13.630000114440918,16.676000595092773,361.5,267.5,1246.0,978.75
